company_name,industry,symbol,Series,sector,ticker,f&o
Ashok Leyland Limited,Capital Goods,ASHOKLEY,EQ,Capital Goods,ASHOKLEY.NS,F&O
Asian Paints Limited,Consumer Durables,ASIANPAINT,EQ,Consumer Durables,ASIANPAINT.NS,F&O
Aster DM Healthcare Limited,Healthcare,ASTERDM,EQ,Healthcare,ASTERDM.NS,#N/A
Astral Limited,Capital Goods,ASTRAL,EQ,Capital Goods,ASTRAL.NS,F&O
Astra Microwave Products Limited,Capital Goods,ASTRAMICRO,EQ,Capital Goods,ASTRAMICRO.NS,#N/A
AstraZeneca Pharma India Limited,Healthcare,ASTRAZEN,EQ,Healthcare,ASTRAZEN.NS,#N/A
Adani Total Gas Limited,"Oil, Gas & Consumable Fuels",ATGL,EQ,"Oil, Gas & Consumable Fuels",ATGL.NS,#N/A
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,Automobile and Auto Components,ATHERENERG.NS,#N/A
Atul Limited,Chemicals,ATUL,EQ,Chemicals,ATUL.NS,#N/A
AU Small Finance Bank Limited,Financial Services,AUBANK,EQ,Financial Services,AUBANK.NS,F&O
Aurobindo Pharma Limited,Healthcare,AUROPHARMA,EQ,Healthcare,AUROPHARMA.NS,F&O
Adani Wilmar Limited,Fast Moving Consumer Goods,AWL,EQ,Fast Moving Consumer Goods,AWL.NS,#N/A
Axis Bank Limited,Financial Services,AXISBANK,EQ,Financial Services,AXISBANK.NS,F&O
Bajaj Auto Limited,Automobile and Auto Components,BAJAJ-AUTO,EQ,Automobile and Auto Components,BAJAJ-AUTO.NS,F&O
Bajaj Consumer Care Limited,Fast Moving Consumer Goods,BAJAJCON,EQ,Fast Moving Consumer Goods,BAJAJCON.NS,#N/A
Bajaj Finserv Limited,Financial Services,BAJAJFINSV,EQ,Financial Services,BAJAJFINSV.NS,F&O
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,Financial Services,BAJAJHFL.NS,#N/A
Bajaj Hindusthan Sugar Limited,Fast Moving Consumer Goods,BAJAJHIND,EQ,Fast Moving Consumer Goods,BAJAJHIND.NS,#N/A
Bajaj Holdings & Investment Limited,Financial Services,BAJAJHLDNG,EQ,Financial Services,BAJAJHLDNG.NS,F&O
Bajaj Finance Limited,Financial Services,BAJFINANCE,EQ,Financial Services,BAJFINANCE.NS,F&O
Balaji Amines Limited,Chemicals,BALAMINES,EQ,Chemicals,BALAMINES.NS,#N/A
Balkrishna Industries Limited,Automobile and Auto Components,BALKRISIND,EQ,Automobile and Auto Components,BALKRISIND.NS,#N/A
Balmer Lawrie & Company Limited,Diversified,BALMLAWRIE,EQ,Diversified,BALMLAWRIE.NS,#N/A
Balrampur Chini Mills Limited,Fast Moving Consumer Goods,BALRAMCHIN,EQ,Fast Moving Consumer Goods,BALRAMCHIN.NS,#N/A
Banco Products (I) Limited,Automobile and Auto Components,BANCOINDIA,EQ,Automobile and Auto Components,BANCOINDIA.NS,#N/A
Bandhan Bank Limited,Financial Services,BANDHANBNK,EQ,Financial Services,BANDHANBNK.NS,F&O
