ticker,Company Name,Industry,stage,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,weekly_setup_bucket,weekly_score,final_weekly_score,weekly_pivot,weekly_breakout_distance_pct,weekly_contraction_depths_pct,weekly_contraction_durations,weekly_contraction_score,weekly_base_duration_weeks,weekly_vcp_quality
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,Stage 2,21.93,22.12,1041181751.4,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,70.21,72.71,1722.91,-4.7,"[18.7, 13.66]","[9, 6]",0.9,18.0,strong
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,"Oil, Gas & Consumable Fuels",Stage 2,20.15,36.21,1302924172.47,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,71.44,72.44,1161.73,1.87,"[30.6, 10.38]","[8, 8]",0.9,26.0,strong
PRIVISCL.NS,Privi Speciality Chemicals Limited,Chemicals,Stage 2,21.8,19.32,283878436.07,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_near_pivot,69.91,72.41,3597.18,-3.99,"[24.03, 9.72]","[4, 3]",0.9,12.0,strong
ADANIPOWER.NS,Adani Power Limited,Power,Stage 2,43.98,61.65,8840646947.18,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_forming,66.9,71.9,254.64,-12.58,"[22.59, 16.36, 16.7]","[7, 3, 4]",0.95,19.0,strong
STLTECH.NS,Sterlite Technologies Limited,Telecommunication,Stage 2,239.89,528.51,1720628275.66,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,66.9,71.9,206.09,203.12,"[24.69, 25.07, 25.45]","[2, 7, 5]",0.95,23.0,strong
CERA.NS,Cera Sanitaryware Limited,Consumer Durables,Stage 2,35.01,25.23,179309240.7,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,71.82,71.82,6225.88,-0.29,"[24.22, 16.61]","[12, 5]",0.9,19.0,strong
CARBORUNIV.NS,Carborundum Universal Limited,Capital Goods,Stage 2,39.95,30.47,195666978.36,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_forming,65.94,70.94,1168.44,-8.81,"[19.67, 19.77, 14.98]","[9, 10, 5]",0.95,27.0,strong
ARVIND.NS,Arvind Limited,Textiles,Stage 2,41.05,63.62,370020324.2,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,65.8,70.8,403.71,22.96,"[21.19, 17.79]","[7, 4]",0.9,15.0,strong
WELCORP.NS,Welspun Corp Limited,Capital Goods,Stage 2,72.12,80.77,1155633207.35,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,65.8,70.8,871.32,57.67,"[14.45, 10.18]","[5, 6]",0.9,12.0,strong
SYRMA.NS,Syrma SGS Technology Limited,Capital Goods,Stage 2,78.01,83.46,1414044968.67,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,65.8,70.8,1190.08,9.18,"[30.27, 21.78]","[10, 4]",0.9,17.0,strong
TDPOWERSYS.NS,TD Power Systems Limited,Capital Goods,Stage 2,46.62,77.8,1510493247.37,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_forming,65.8,70.8,1382.01,-15.38,"[29.04, 18.01]","[12, 3]",0.9,19.0,strong
MIDHANI.NS,Mishra Dhatu Nigam Limited,Capital Goods,Stage 2,43.35,54.06,716123602.15,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,65.8,70.8,390.35,12.48,"[27.32, 27.35]","[6, 13]",0.9,21.0,strong
CGPOWER.NS,CG Power and Industrial Solutions Limited,Capital Goods,Stage 2,34.13,49.17,3590480426.69,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,65.8,70.8,750.31,25.37,"[34.11, 14.18]","[19, 2]",0.9,27.0,strong
WELENT.NS,Welspun Enterprises Limited,Construction,Stage 2,19.41,15.1,129511823.63,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,70.35,70.35,559.38,-1.15,"[23.18, 21.16, 19.91]","[12, 7, 2]",0.95,28.0,strong
VARROC.NS,Varroc Engineering Limited,Automobile and Auto Components,Stage 2,29.08,3.82,82726076.08,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,69.09,70.09,631.1,-1.28,"[25.64, 26.67]","[7, 8]",0.9,17.0,strong
GMRAIRPORT.NS,GMR Airports Ltd.,Services,Stage 2,18.28,10.63,2603535206.42,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,68.69,69.69,110.55,-2.75,"[12.44, 10.31]","[7, 28]",0.9,37.0,strong
BANCOINDIA.NS,Banco Products (I) Limited,Automobile and Auto Components,Stage 2,24.22,4.6,237684863.7,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,68.68,69.68,696.44,-2.88,"[37.19, 27.79]","[11, 7]",0.9,20.0,strong
MGL.NS,Mahanagar Gas Limited,"Oil, Gas & Consumable Fuels",Stage 2,14.04,14.24,244622561.76,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,68.63,69.63,1235.16,-4.01,"[26.08, 27.01]","[19, 4]",0.9,27.0,strong
AXISBANK.NS,Axis Bank Limited,Financial Services,Stage 2,11.92,13.78,9299207341.02,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_near_pivot,68.37,69.37,1405.7,-2.85,"[18.9, 12.14]","[8, 4]",0.9,15.0,strong
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited,Automobile and Auto Components,Stage 2,8.35,12.97,186808435.15,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_near_pivot,67.93,68.93,15549.0,-4.3,"[22.28, 10.73]","[5, 3]",0.9,12.0,strong
CUB.NS,City Union Bank Limited,Financial Services,Stage 2,12.43,7.81,522271970.01,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,67.82,68.82,220.52,-6.83,"[30.13, 17.43]","[6, 2]",0.9,14.0,strong
TEJASNET.NS,Tejas Networks Limited,Telecommunication,Stage 2,29.6,28.88,6249492507.37,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,63.65,68.65,529.88,9.72,"[53.05, 27.73]","[19, 4]",0.9,28.0,strong
KRBL.NS,KRBL Limited,Fast Moving Consumer Goods,Stage 2,22.98,3.9,173274307.13,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,68.49,68.49,390.18,-2.67,"[30.68, 17.33]","[6, 2]",0.9,15.0,strong
